Partido,Local,Visitante,Liga,Jornada,Temporada,Prediccion,Valor_Mas_Probable,Prob_Valor_Mas_Probable_%,Rango_80%_Min,Rango_80%_Max,PPP_Local,PPP_Away,PPP_Diferencia,CK_Local_Casa,CK_Away_Fuera,CK_Local_Recibidos,CK_Away_Recibidos,CK_Esperado_Suma,CK_H2H_Total,Fiabilidad_Partido,Score_Fiabilidad,Nivel_Local,Nivel_Away,CV_Local_%,CV_Away_%,Over_6.5_Prob_%,Over_6.5_Cuota,Over_6.5_Confianza,Over_7.5_Prob_%,Over_7.5_Cuota,Over_7.5_Confianza,Over_8.5_Prob_%,Over_8.5_Cuota,Over_8.5_Confianza,Over_9.5_Prob_%,Over_9.5_Cuota,Over_9.5_Confianza,Over_10.5_Prob_%,Over_10.5_Cuota,Over_10.5_Confianza,Under_12.5_Prob_%,Under_12.5_Cuota,Under_12.5_Confianza,Under_11.5_Prob_%,Under_11.5_Cuota,Under_11.5_Confianza,Under_10.5_Prob_%,Under_10.5_Cuota,Under_10.5_Confianza,Under_9.5_Prob_%,Under_9.5_Cuota,Under_9.5_Confianza,Recomendacion,Es_Apostable,Mensaje_Riesgo
Como vs Cagliari,Como,Cagliari,ITA,11,2526,9.33,9,13.1,6,13,1.7,1,0.7,3,2.8,4.8,5,5.8,8.5,ALTA ✅,61.6,BUENO ✅,BUENO ✅,56,60.9,0,999,BAJA ❌,71.37,1.4,ALTA ✅,58.75,1.7,MEDIA ⚠️,45.65,2.19,BAJA ❌,33.43,2.99,BAJA ❌,85.01,1.18,ALTA ✅,76.95,1.3,ALTA ✅,66.57,1.5,ALTA ✅,54.35,1.84,BAJA ❌,Over 7.5 (71.4% @1.4) | Under 12.5 (85.0% @1.18),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Lecce vs Hellas Verona,Lecce,Hellas Verona,ITA,11,2526,12.02,12,11.44,8,16,0.67,0.56,0.11,4,2.8,4.8,2,6.8,11,MEDIA 🟡,42.4,ACEPTABLE 🟡,REGULAR ⚠️,47.6,75.5,0,999,BAJA ❌,91.15,1.1,ALTA ✅,84.64,1.18,ALTA ✅,75.95,1.32,ALTA ✅,65.51,1.53,MEDIA ⚠️,57.34,1.74,MEDIA ⚠️,45.91,2.18,BAJA ❌,34.49,2.9,BAJA ❌,24.05,4.16,BAJA ❌,Over 7.5 (91.1% @1.1) | Under 12.5 (57.3% @1.74),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Juventus vs Torino,Juventus,Torino,ITA,11,2526,9.82,9,12.72,6,13,1.8,1.33,0.47,7.8,4,3.2,3.8,11.8,9.3,MEDIA 🟡,41.5,REGULAR ⚠️,ACEPTABLE 🟡,61.5,51,0,999,BAJA ❌,76.27,1.31,ALTA ✅,64.6,1.55,MEDIA ⚠️,51.88,1.93,BAJA ❌,39.39,2.54,BAJA ❌,80.87,1.24,ALTA ✅,71.75,1.39,ALTA ✅,60.61,1.65,MEDIA ⚠️,48.12,2.08,BAJA ❌,Over 7.5 (76.3% @1.31) | Under 12.5 (80.9% @1.24),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Parma vs Milan,Parma,Milan,ITA,11,2526,11.18,11,11.92,7,15,0.78,2,-1.22,3,3.2,5,3.6,6.2,11,ALTA ✅,53.2,BUENO ✅,ACEPTABLE 🟡,57.6,69.2,0,999,BAJA ❌,86.83,1.15,ALTA ✅,78.39,1.28,ALTA ✅,67.91,1.47,ALTA ✅,56.19,1.78,MEDIA ⚠️,66.84,1.5,ALTA ✅,55.73,1.79,MEDIA ⚠️,43.81,2.28,BAJA ❌,32.09,3.12,BAJA ❌,Over 7.5 (86.8% @1.15) | Under 12.5 (66.8% @1.5),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Atalanta vs Sassuolo,Atalanta,Sassuolo,ITA,11,2526,13,13,10.99,8,17,1.3,1.44,-0.14,8.4,4,4.6,5,12.4,13,MEDIA 🟡,46.1,REGULAR ⚠️,BUENO ✅,51.7,56.6,0,999,BAJA ❌,94.61,1.06,ALTA ✅,90.04,1.11,ALTA ✅,83.44,1.2,ALTA ✅,74.86,1.34,ALTA ✅,46.27,2.16,BAJA ❌,35.28,2.83,BAJA ❌,25.14,3.98,BAJA ❌,16.56,6.04,BAJA ❌,Over 7.5 (94.6% @1.06),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Bologna vs Napoli,Bologna,Napoli,ITA,11,2526,11.06,11,11.94,7,15,1.67,2.2,-0.53,5,6,3.8,2.8,11,11.7,MEDIA 🟡,47.8,ACEPTABLE 🟡,ACEPTABLE 🟡,40.8,58.7,0,999,BAJA ❌,86.09,1.16,ALTA ✅,77.36,1.29,ALTA ✅,66.64,1.5,ALTA ✅,54.77,1.83,BAJA ❌,68.17,1.47,ALTA ✅,57.17,1.75,MEDIA ⚠️,45.23,2.21,BAJA ❌,33.36,3,BAJA ❌,Over 7.5 (86.1% @1.16) | Under 12.5 (68.2% @1.47),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Genoa vs Fiorentina,Genoa,Fiorentina,ITA,11,2526,9.32,9,13.1,6,13,0.33,0.44,-0.11,4.4,3.8,6,5.2,8.2,8.3,MEDIA 🟡,49.2,ACEPTABLE 🟡,ACEPTABLE 🟡,53.3,46.5,0,999,BAJA ❌,71.21,1.4,ALTA ✅,58.56,1.71,MEDIA ⚠️,45.46,2.2,BAJA ❌,33.25,3.01,BAJA ❌,85.13,1.17,ALTA ✅,77.1,1.3,ALTA ✅,66.75,1.5,ALTA ✅,54.54,1.83,BAJA ❌,Over 7.5 (71.2% @1.4) | Under 12.5 (85.1% @1.17),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
Roma vs Udinese,Roma,Udinese,ITA,11,2526,8.31,8,13.88,5,12,2.33,1.5,0.83,6,4.2,3.2,4,10.2,7,ALTA ✅,58.5,BUENO ✅,ACEPTABLE 🟡,35.3,39,0,999,BAJA ❌,58.91,1.7,MEDIA ⚠️,45.03,2.22,BAJA ❌,32.22,3.1,BAJA ❌,21.58,4.63,BAJA ❌,92.02,1.09,ALTA ✅,86.46,1.16,ALTA ✅,78.42,1.28,ALTA ✅,67.78,1.48,ALTA ✅,Over 7.5 (58.9% @1.7) | Under 12.5 (92.0% @1.09),SÍ ✅,✅ BUEN PARTIDO PARA APOSTAR
Inter vs Lazio,Inter,Lazio,ITA,11,2526,8.45,8,13.79,5,12,2,1.33,0.67,9.4,1.8,3.5,4.2,11.2,6.7,MEDIA 🟡,43.8,ACEPTABLE 🟡,ACEPTABLE 🟡,42.6,98.6,0,999,BAJA ❌,60.79,1.64,MEDIA ⚠️,47,2.13,BAJA ❌,34.06,2.94,BAJA ❌,23.12,4.33,BAJA ❌,91.21,1.1,ALTA ✅,85.29,1.17,ALTA ✅,76.88,1.3,ALTA ✅,65.94,1.52,MEDIA ⚠️,Over 7.5 (60.8% @1.64) | Under 12.5 (91.2% @1.1),PRECAUCIÓN 🟡,🟡 APOSTAR CON PRECAUCIÓN
